(r1_0,r1_0_at4_0,r1_0_at2_2,r1_0_at1_2,r2_0,r2_0_at2_0,r2_0_at2_1,r2_0_at1_0,r2_0_at1_1)
0:(0,false,false,false,0,false,false,false,false)
1:(0,false,false,false,1,true,false,false,false)
2:(0,false,false,false,1,true,false,true,false)
3:(0,false,false,false,1,true,true,false,false)
4:(0,false,false,false,1,true,true,true,false)
5:(0,false,false,false,2,false,true,false,false)
6:(0,false,false,false,2,false,true,true,false)
7:(0,false,false,false,3,false,false,true,false)
8:(0,false,false,false,3,false,true,true,false)
9:(0,false,false,false,4,false,false,false,true)
10:(0,false,false,false,4,false,false,true,true)
11:(0,false,false,false,4,false,true,false,true)
12:(0,false,false,false,4,false,true,true,true)
13:(1,true,false,false,0,false,false,false,false)
14:(1,true,false,false,1,true,false,false,false)
15:(1,true,false,false,1,true,false,true,false)
16:(1,true,false,false,1,true,true,false,false)
17:(1,true,false,false,1,true,true,true,false)
18:(1,true,false,false,2,false,true,false,false)
19:(1,true,false,false,2,false,true,true,false)
20:(1,true,false,false,3,false,false,true,false)
21:(1,true,false,false,3,false,true,true,false)
22:(1,true,false,false,4,false,false,false,true)
23:(1,true,false,false,4,false,false,true,true)
24:(1,true,false,false,4,false,true,false,true)
25:(1,true,false,false,4,false,true,true,true)
26:(1,true,false,true,1,true,false,false,false)
27:(1,true,false,true,1,true,false,false,true)
28:(1,true,false,true,1,true,false,true,false)
29:(1,true,false,true,1,true,false,true,true)
30:(1,true,false,true,1,true,true,false,false)
31:(1,true,false,true,1,true,true,false,true)
32:(1,true,false,true,1,true,true,true,false)
33:(1,true,false,true,1,true,true,true,true)
34:(1,true,false,true,2,true,true,false,false)
35:(1,true,false,true,2,true,true,false,true)
36:(1,true,false,true,2,true,true,true,false)
37:(1,true,false,true,2,true,true,true,true)
38:(1,true,false,true,3,true,false,true,false)
39:(1,true,false,true,3,true,false,true,true)
40:(1,true,false,true,3,true,true,true,false)
41:(1,true,false,true,3,true,true,true,true)
42:(1,true,false,true,4,true,false,false,true)
43:(1,true,false,true,4,true,false,true,true)
44:(1,true,false,true,4,true,true,false,true)
45:(1,true,false,true,4,true,true,true,true)
46:(1,true,true,false,4,false,false,false,true)
47:(1,true,true,false,4,false,false,true,true)
48:(1,true,true,false,4,false,true,false,true)
49:(1,true,true,false,4,false,true,true,true)
50:(1,true,true,false,4,true,false,false,true)
51:(1,true,true,false,4,true,false,true,true)
52:(1,true,true,false,4,true,true,false,true)
53:(1,true,true,false,4,true,true,true,true)
54:(1,true,true,true,1,true,false,false,false)
55:(1,true,true,true,1,true,false,false,true)
56:(1,true,true,true,1,true,false,true,false)
57:(1,true,true,true,1,true,false,true,true)
58:(1,true,true,true,1,true,true,false,false)
59:(1,true,true,true,1,true,true,false,true)
60:(1,true,true,true,1,true,true,true,false)
61:(1,true,true,true,1,true,true,true,true)
62:(1,true,true,true,2,false,true,false,true)
63:(1,true,true,true,2,false,true,true,true)
64:(1,true,true,true,2,true,true,false,false)
65:(1,true,true,true,2,true,true,false,true)
66:(1,true,true,true,2,true,true,true,false)
67:(1,true,true,true,2,true,true,true,true)
68:(1,true,true,true,3,false,false,true,true)
69:(1,true,true,true,3,false,true,true,true)
70:(1,true,true,true,3,true,false,true,false)
71:(1,true,true,true,3,true,false,true,true)
72:(1,true,true,true,3,true,true,true,false)
73:(1,true,true,true,3,true,true,true,true)
74:(1,true,true,true,4,false,false,false,true)
75:(1,true,true,true,4,false,false,true,true)
76:(1,true,true,true,4,false,true,false,true)
77:(1,true,true,true,4,false,true,true,true)
78:(1,true,true,true,4,true,false,false,true)
79:(1,true,true,true,4,true,false,true,true)
80:(1,true,true,true,4,true,true,false,true)
81:(1,true,true,true,4,true,true,true,true)
82:(2,false,true,false,0,false,false,false,false)
83:(2,false,true,false,1,true,false,false,false)
84:(2,false,true,false,1,true,false,true,false)
85:(2,false,true,false,1,true,true,false,false)
86:(2,false,true,false,1,true,true,true,false)
87:(2,false,true,false,2,false,true,false,false)
88:(2,false,true,false,2,false,true,true,false)
89:(2,false,true,false,3,false,false,true,false)
90:(2,false,true,false,3,false,true,true,false)
91:(2,false,true,false,4,false,false,false,true)
92:(2,false,true,false,4,false,false,true,true)
